RUN,EXP,TRTNUM,ROTNUM,REPNO,YEAR,DOY,DAS,PRED,CPRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD
1,TEST01MZ,1,0,1,2001,192,79,0.00000000,629.000122,13.8565559,14.9246912,27.0000000,54.0000000,0.169199646,34.9000015,22.8999996,28.9663448,31.1741676,22.8999996,28.9663448,31.1741676,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,193,80,0.00000000,629.000122,13.8436699,14.9108763,26.3999996,52.7999992,0.186728776,34.7000008,23.0000000,28.9125500,31.0638924,23.0000000,28.9125500,31.0638924,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,194,81,0.00000000,629.000122,13.8301992,14.8964052,26.2000008,52.4000015,0.191914141,34.2999992,22.7999992,28.6092834,30.7225170,22.7999992,28.6092834,30.7225170,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,195,82,1.00000000,630.000122,13.8161526,14.8812895,22.5000000,45.0000000,0.305152118,33.5999985,23.0000000,28.3525314,30.2991047,23.0000000,28.3525314,30.2991047,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,196,83,9.69999981,639.700134,13.8015375,14.8655376,21.8999996,43.7999992,0.322781146,32.2000008,23.2999992,27.7922592,29.4255199,23.2999992,27.7922592,29.4255199,86.4000015,370.980011,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,197,84,1.39999998,641.100159,13.7863636,14.8491621,23.5000000,47.0000000,0.272291958,35.0000000,22.8999996,29.0048447,31.2237511,22.8999996,29.0048447,31.2237511,86.4000015,370.980011,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,198,85,0.00000000,641.100159,13.7706394,14.8321743,25.2000008,50.4000015,0.218513846,34.9000015,22.7000008,28.8525772,31.0881367,22.7000008,28.8525772,31.0881367,86.4000015,370.980011,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,199,86,0.00000000,641.100159,13.7543736,14.8145857,26.1000004,52.2000008,0.189375579,35.0999985,22.7000008,28.9505749,31.2210045,22.7000008,28.9505749,31.2210045,86.4000015,370.980011,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,200,87,0.00000000,641.100159,13.7375755,14.7964058,26.1000004,52.2000008,0.188094318,36.0999985,23.6000004,29.8980007,32.1848793,23.6000004,29.8980007,32.1848793,86.4000015,370.980011,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,201,88,13.0000000,654.100159,13.7202549,14.7776508,21.7000008,43.4000015,0.323857307,35.5000000,24.3999996,29.9898968,32.0189285,24.3999996,29.9898968,32.0189285,86.4000015,370.980011,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,202,89,60.5999985,714.700134,13.7024202,14.7583294,11.5000000,23.0000000,0.641063452,31.7999992,25.2999992,28.5717087,29.7588482,25.2999992,28.5717087,29.7588482,86.4000015,370.980011,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,203,90,29.8999996,744.600159,13.6840839,14.7384558,18.8999996,37.7999992,0.409049749,30.7999992,23.7000008,27.2718716,28.5674057,23.7000008,27.2718716,28.5674057,86.4000015,370.980011,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,204,91,22.8999996,767.500183,13.6652527,14.7180424,18.2999992,36.5999985,0.426758170,31.0000000,23.0000000,27.0224972,28.4808922,23.0000000,27.0224972,28.4808922,86.4000015,370.980011,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,205,92,12.8999996,780.400208,13.6459379,14.6971006,17.3999996,34.7999992,0.453912556,30.8999996,22.7000008,26.8208065,28.3142090,22.7000008,26.8208065,28.3142090,86.4000015,370.980011,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,206,93,8.60000038,789.000183,13.6261492,14.6756449,21.6000004,43.2000008,0.320762575,30.8999996,22.7999992,26.8682766,28.3419895,22.7999992,26.8682766,28.3419895,86.4000015,370.980011,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,207,94,0.200000003,789.200195,13.6058979,14.6536875,23.8999996,47.7999992,0.246905267,33.7999992,21.6000004,27.7240067,29.9413795,21.6000004,27.7240067,29.9413795,86.4000015,370.980011,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,208,95,0.00000000,789.200195,13.5851917,14.6312408,24.8999996,49.7999992,0.213743567,34.5999985,22.1000004,28.3709087,30.6403923,22.1000004,28.3709087,30.6403923,86.4000015,370.980011,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,209,96,0.00000000,789.200195,13.5640430,14.6083193,25.5000000,51.0000000,0.193047941,35.0000000,22.3999996,28.7172832,31.0024090,22.3999996,28.7172832,31.0024090,86.4000015,370.980011,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,210,97,0.00000000,789.200195,13.5424614,14.5849352,26.7000008,53.4000015,0.153179705,35.2999992,22.2000008,28.7639389,31.1370640,22.2000008,28.7639389,31.1370640,86.4000015,370.980011,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,211,98,0.00000000,789.200195,13.5204563,14.5611010,26.3999996,52.7999992,0.160759628,35.7000008,22.7000008,29.2097492,31.5620327,22.7000008,29.2097492,31.5620327,86.4000015,370.980011,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,212,99,0.00000000,789.200195,13.4980402,14.5368309,27.2000008,54.4000015,0.133269429,36.4000015,22.6000004,29.5059433,32.0000000,22.6000004,29.5059433,32.0000000,86.4000015,370.980011,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,213,100,0.00000000,789.200195,13.4752207,14.5121374,25.7999992,51.5999985,0.175865471,36.4000015,22.5000000,29.4514523,31.9605103,22.5000000,29.4514523,31.9605103,86.4000015,370.980011,0.00000000,0.00000000
